X,Y,FID,Ano,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Cód_Comun,Cód_Zona,Zona_1,Cód_Ubica,Ubicación,Cód_Calle,Intersecci,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-7875073.51267416,-3952165.74562897,101,2019,13,REGION METROPOLITANA,CERRO NAVIA,URBANA,GALVARINO,MAPOCHO SUR,NULL,-33.427349,-70.742989,1,13103,1,URBANA,14,CRUCE CON SEÑAL PARE,131030212,GALVARINO - MAPOCHO SUR,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,1,0,1
-7874997.03618398,-3958898.3455115,102,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS PAJARITOS,LOS PINTORES,NULL,-33.47781,-70.742302,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131192034,LOS PAJARITOS - LOS PINTORES,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,0,1
-7874993.58527977,-3955038.37255153,103,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,CORONA SUECA,NULL,8325,-33.448883,-70.742271,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131240230,- CORONA SUECA,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7874901.07878292,-3958933.44572421,104,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS PAJARITOS,LAS PARCELAS,NULL,-33.478073,-70.74144,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131192034,LAS PARCELAS - LOS PAJARITOS,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,2,2
-7874891.67228594,-3967424.97020066,105,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A LONQUEN,STA MARTA,NULL,-33.5416751,-70.7413555,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190390,CAMINO A LONQUEN - STA MARTA,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-7874850.09445613,-3957909.17724394,106,2019,13,REGION METROPOLITANA,MAIPU,URBANA,ING PEDRO GALLO,EL DESCANSO,NULL,-33.470398,-70.740982,1,13119,1,URBANA,16,CRUCE SIN SEÑALIZACION,131191388,EL DESCANSO - ING PEDRO GALLO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,2,1
-7874823.8230563,-3957584.90007255,107,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CALLEJON DE LOS PERROS,TTE CRUZ,NULL,-33.467968,-70.740746,1,13119,1,URBANA,26,OTROS NO CONSIDERADOS,131190382,CALLEJON DE LOS PERROS - TTE CRUZ,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-7874808.46096658,-3954103.42991688,108,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,TTE CRUZ,RICARDO VIAL,NULL,-33.441875,-70.740608,1,13124,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131241328,RICARDO VIAL - TTE CRUZ,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,1,0,0,1
-7874783.85935911,-3958561.76256966,109,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS PAJARITOS,ARQTO HUGO BRAVO,NULL,-33.475288,-70.740387,1,13119,1,URBANA,26,OTROS NO CONSIDERADOS,131192034,ARQTO HUGO BRAVO - LOS PAJARITOS,2,2,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-7874760.92754401,-3963238.76784484,110,2019,13,REGION METROPOLITANA,MAIPU,URBANA,FERROCARRIL,ESQUINA BLANCA,NULL,-33.510326,-70.740181,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131191137,ESQUINA BLANCA - FERROCARRIL,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
