X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Cód__Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Tipo_Cal_1,Fallecid_1,Graves_1,Menos_Gr_1,Leves_1,Tipo,Servicio
-7865544.27511658,-3954545.28088417,11,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010585,SAN MARTIN,131010342,LIBER BERNARDO O`HIGGINS, ,LIBER BERNARDO O`HIGGINS - SAN MARTIN,SAN MARTIN @ LIBER BERNARDO O`HIGGINS,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7865534.90843088,-3954620.0250279,12,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010342,LIBER BERNARDO O`HIGGINS,131010580,SAN IGNACIO DE LOYOLA, ,LIBER BERNARDO O`HIGGINS - SAN IGNACIO DE LOYOLA,LIBER BERNARDO O`HIGGINS @ SAN IGNACIO DE LOYOLA,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-7865519.73624611,-3953280.9219993,13,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010560,ROSAS,131010042,AMUNATEGUI, ,AMUNATEGUI - ROSAS,ROSAS @ AMUNATEGUI,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7865519.64864805,-3954810.65282528,14,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010580,SAN IGNACIO DE LOYOLA, , ,15,- SAN IGNACIO DE LOYOLA,15 SAN IGNACIO DE LOYOLA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7865494.52712531,-3965892.25084088,15,1,LA CISTERNA,2016,1,13109,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131090388,URUGUAY,131090025,ANGAMOS, ,ANGAMOS - URUGUAY,URUGUAY @ ANGAMOS,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7865450.68854944,-3950901.14331746,16,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131080174,INDEPENDENCIA, , ,1084,- INDEPENDENCIA,1084 INDEPENDENCIA,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-7865436.07358847,-3969935.49920434,17,1,EL BOSQUE,2016,1,13105,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACIÓN,131050778,SAN FRANCISCO,131050451,LOS CURANTOS, ,LOS CURANTOS - SAN FRANCISCO,SAN FRANCISCO @ LOS CURANTOS,CONCRETO,0,0,1,0,BICICLETA,PARTICULAR
-7865401.60780514,-3957854.77010758,18,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010274,GRAL RONDIZZONI, , ,1859,- GRAL RONDIZZONI,1859 GRAL RONDIZZONI,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-7865381.281951,-3955601.26738881,19,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010621,STA ISABEL,131010580,SAN IGNACIO DE LOYOLA, ,SAN IGNACIO DE LOYOLA - STA ISABEL,STA ISABEL @ SAN IGNACIO DE LOYOLA,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7865355.15350105,-3962689.09611584,20,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300053,CARMEN MENA, ,CARMEN MENA - GRAN AVDA JOSE MIGUEL CARRERA,GRAN AVDA JOSE MIGUEL CARRERA @ CARMEN MENA,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7865345.94218928,-3954490.5188899,21,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010342,LIBER BERNARDO O`HIGGINS,131010042,AMUNATEGUI, ,AMUNATEGUI - LIBER BERNARDO O`HIGGINS,LIBER BERNARDO O`HIGGINS @ AMUNATEGUI,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
-7865335.51481617,-3953562.09998044,22,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010639,TEATINOS,131010115,CATEDRAL, ,CATEDRAL - TEATINOS,TEATINOS @ CATEDRAL,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-7865326.91949399,-3954557.53062409,23,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010356,LORD COCHRANE,131010342,LIBER BERNARDO O`HIGGINS, ,LIBER BERNARDO O`HIGGINS - LORD COCHRANE,LORD COCHRANE @ LIBER BERNARDO O`HIGGINS,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7865298.75696695,-3969347.4109346,24,1,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131120657,SAN FRANCISCO,131120754,STA MACARENA, ,SAN FRANCISCO - STA MACARENA,SAN FRANCISCO @ STA MACARENA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7865295.18146429,-3949738.94523194,25,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131080158,GRAL SAAVEDRA,131080244,NVA 1, ,GRAL SAAVEDRA - NVA 1,GRAL SAAVEDRA @ NVA 1,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
