X,Y,FID,DIR_GEOCOD,LAT,LNG,VAL_COM,Año,Cód_Regi,Región,Comuna,Zona,Calle_Uno,Calle_Dos,Número,Direccion,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7861843.70326303,-3967653.85290337,147,"Av. Américo Vespucio 391, La Granja, Región Metropolitana, Chile",-33.5433888,-70.6241436,1,2020,13,REGION METROPOLITANA,LA GRANJA,URBANA,CORONEL,AMERICO VESPUCIO,0,CORONEL-AMERICO VESPUCIO,0,0,0,1,BICICLETA,0,0,0,1,1
-7861834.87562741,-3969379.72146868,148,"Joaquín Edwards Bello & San José de la Estrella, La Granja, Región Metropolitana, Chile",-33.5563097,-70.6240643,1,2020,13,REGION METROPOLITANA,LA GRANJA,URBANA,JOAQUIN EDWARDS BELLO,SAN JOSE DE LA ESTRELLA,0,SAN JOSE DE LA ESTRELLA-JOAQUIN EDWARDS BELLO,0,0,0,1,BICICLETA,0,0,0,1,1
-7861815.65075135,-3954156.8989148,149,"Pedro León Gallo & Avenida Salvador, Providencia, Región Metropolitana, Chile",-33.4422758,-70.6238916,1,2020,13,REGION METROPOLITANA,PROVIDENCIA,URBANA,SALVADOR,PEDRO LEON GALLO,0,SALVADOR-PEDRO LEON GALLO,0,0,0,0,BICICLETA,0,0,0,0,1
-7861800.36658526,-3952706.05294264,150,"Rafael Cañas 20, Providencia, Santiago, Región Metropolitana, Chile",-33.4313997,-70.6237543,1,2020,13,REGION METROPOLITANA,PROVIDENCIA,URBANA,ANTONIO VARAS, ,0,"ANTONIO VARAS  0, PROVIDENCIA",0,0,0,1,BICICLETA,0,0,0,1,1
-7861778.90418743,-3952713.88289552,151,"Av. Providencia 955, Providencia, Región Metropolitana, Chile",-33.4314584,-70.6235615,1,2020,13,REGION METROPOLITANA,PROVIDENCIA,URBANA,PROVIDENCIA, ,955,"PROVIDENCIA  955, PROVIDENCIA",0,0,0,1,BICICLETA,0,0,0,1,1
-7861760.80363824,-3952968.28588139,152,"Eliodoro Yañez & José Manuel Infante, Providencia, Región Metropolitana, Chile",-33.4333656,-70.6233989,1,2020,13,REGION METROPOLITANA,PROVIDENCIA,URBANA,ELIODORO YAÑEZ,JOSE MANUEL INFANTE,0,JOSE MANUEL INFANTE-ELIODORO YAÑEZ,0,1,0,0,BICICLETA,0,1,0,0,1
-7861730.86982716,-3958514.87929175,153,"Rodrigo de Araya & Vicuña Mackenna, San Joaquín, Región Metropolitana, Chile",-33.4749367,-70.62313,1,2020,13,REGION METROPOLITANA,SAN JOAQUIN,URBANA,VICUÑA MACKENNA,RODRIGO DE ARAYA,0,VICUÑA MACKENNA-RODRIGO DE ARAYA,0,1,0,0,BICICLETA,0,1,0,0,1
-7861727.32986735,-3967531.69786592,154,"Av. Américo Vespucio 439, La Granja, Región Metropolitana, Chile",-33.5424742,-70.6230982,1,2020,13,REGION METROPOLITANA,LA GRANJA,URBANA,AMERICO VESPUCIO, ,439,"AMERICO VESPUCIO  439, LA GRANJA",0,0,0,1,BICICLETA,0,0,0,0,1
-7861694.92476357,-3945422.68810352,155,"Los Retamos & Las Petunias, Huechuraba, Región Metropolitana, Chile",-33.3767802,-70.6228071,1,2020,13,REGION METROPOLITANA,HUECHURABA,URBANA,LAS PETUNIAS,LOS RETAMOS,0,LOS RETAMOS-LAS PETUNIAS,0,0,0,1,BICICLETA,0,0,0,1,1
-7861672.3380389,-3957120.74581714,156,"Lo Encalada & Aristóteles, Ñuñoa, Región Metropolitana, Chile",-33.4644897,-70.6226042,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,ARISTOTELES,LO ENCALADA,0,LO ENCALADA-ARISTOTELES,0,0,0,1,BICICLETA,0,0,0,1,1
-7861631.47265383,-3959758.82524102,157,"Vicuña Mackenna 3361, San Joaquín, Macul, Región Metropolitana, Chile",-33.4842572,-70.6222371,1,2020,13,REGION METROPOLITANA,SAN JOAQUIN,URBANA,VICUÑA MACKENNA, ,3361,"VICUÑA MACKENNA  3361, SAN JOAQUIN",0,0,0,1,BICICLETA,0,0,0,1,1
