X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,TIPO,Año,Claseaccid,Cód_Regi,Cód_Zona,Zona,Cód_Calle,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7857655.12931075,-3949764.29951708,385,-70.586517,-33.409343,REGION METROPOLITANA,13114,LAS CONDES,AMERICO VESPUCIO NORTE, ,375,"AMERICO VESPUCIO NORTE 375, LAS CONDES",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131140037,0,1,0,0,1,1
-7857637.22913663,-3973429.61853195,386,-70.5863562,-33.5866221,REGION METROPOLITANA,13201,PUENTE ALTO,LUIS MATTE LARRAIN,COQUIMBO,0,"LUIS MATTE LARRAIN & COQUIMBO, PUENTE ALTO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,132011913,0,1,0,0,1,1
-7857591.36550642,-3949988.72547798,387,-70.5859442,-33.4110259,REGION METROPOLITANA,13114,LAS CONDES,EL DANTE,AMERICO VESPUCIO NORTE,0,"EL DANTE & AMERICO VESPUCIO NORTE, LAS CONDES",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131140374,0,0,0,0,2,1
-7857582.25957207,-3963624.0330677,388,-70.5858624,-33.5132116,REGION METROPOLITANA,13110,LA FLORIDA,LA FLORIDA,LOS PONSIANOS,0,"LA FLORIDA & LOS PONSIANOS, LA FLORIDA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131101085,0,0,0,0,1,1
-7857561.45395925,-3969828.49839539,389,-70.5856755,-33.5596692,REGION METROPOLITANA,13110,LA FLORIDA,VICUNA MACKENNA PONIENTE,SAN JORGE,0,"VICUNA MACKENNA PONIENTE & SAN JORGE, LA FLORIDA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131102667,0,0,0,1,1,1
-7857557.84720774,-3960492.88354318,390,-70.5856431,-33.4897568,REGION METROPOLITANA,13118,MACUL,SAN MATEO,LOS EVANGELISTAS,0,"SAN MATEO & LOS EVANGELISTAS, MACUL",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131180515,0,1,0,0,1,1
-7857541.09362438,-3969974.13590349,391,-70.5854926,-33.5607594,REGION METROPOLITANA,13110,LA FLORIDA,VICUNA MACKENNA PONIENTE,MARIA ELENA,0,"VICUNA MACKENNA PONIENTE & MARIA ELENA, LA FLORIDA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131102667,0,0,0,1,3,2
-7857488.8179915,-3963236.03087352,392,-70.585023,-33.5103055,REGION METROPOLITANA,13122,PENALOLEN,DEPARTAMENTAL,SAN ANDRES DE PENALOLEN,0,"DEPARTAMENTAL & SAN ANDRES DE PENALOLEN, PE??ªALOLEN",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131220355,0,0,0,1,1,1
-7857471.93082475,-3969957.37053076,393,-70.5848713,-33.5606339,REGION METROPOLITANA,13110,LA FLORIDA,EL PARQUE,IQUITOS,0,"EL PARQUE & IQUITOS, LA FLORIDA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131100713,0,0,1,1,0,1
-7857469.17010138,-3971354.87135202,394,-70.5848465,-33.5710945,REGION METROPOLITANA,13201,PUENTE ALTO,CONCHA Y TORO,RIO CALLE CALLE,0,"CONCHA Y TORO & RIO CALLE CALLE, PUENTE ALTO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,132010585,0,0,1,0,1,1
-7857456.56873502,-3968977.72727458,395,-70.5847333,-33.5533003,REGION METROPOLITANA,13110,LA FLORIDA,VICHUQUEN, ,6331,"VICHUQUEN 6331, LA FLORIDA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131102660,0,0,0,1,1,1
-7857447.54072432,-3952764.66433689,396,-70.5846522,-33.4318391,REGION METROPOLITANA,13123,PROVIDENCIA,TOBALABA,FRANCISCO BILBAO,0,"TOBALABA & FRANCISCO BILBAO, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230501,0,0,0,2,2,2
-7857444.92471628,-3970380.42644471,397,-70.5846287,-33.5638007,REGION METROPOLITANA,13110,LA FLORIDA,DIEGO PORTALES,VICUNA MACKENNA,0,"DIEGO PORTALES & VICUNA MACKENNA, LA FLORIDA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131100573,0,1,0,2,3,3
-7857444.02302841,-3948905.37595426,398,-70.5846206,-33.4029019,REGION METROPOLITANA,13132,VITACURA,PDTE KENNEDY, ,4570,"PDTE KENNEDY 4570, VITACURA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131320478,0,0,0,0,2,1
-7857443.66680604,-3984727.34703767,399,-70.5846174,-33.6711263,REGION METROPOLITANA,13202,PIRQUE,ALCALDE HERNAN PRIETO, ,3350,"ALCALDE HERNAN PRIETO 3350, PIRQUE",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,0,0,1,0,0,1,1
