X,Y,FID,Año,ClaseAccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7861010.9444163,-3952266.61032805,1017,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230437,PROVIDENCIA,131230016,ALC RAFAEL VIVES,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7861010.74404122,-3959642.14581782,1018,2018,1,13118,MACUL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131180058,AYSEN,131180536,TIL TIL,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7861005.62334465,-3953958.41918237,1019,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230270,JOSE TOMAS RIDER,131230442,PUYEHUE,0,0,0,0,0,BICICLETA,0,0,0,0,1
-7860989.48201848,-3961328.51955586,1020,2018,1,13118,MACUL,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131180549,VICUNA MACKENNA,131180357,MONS CARLOS CASANUEVA,0,0,0,1,0,BICICLETA,0,0,1,0,1
-7860959.75971443,-3952087.85019186,1021,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230437,PROVIDENCIA, , ,1634,0,0,1,1,BICICLETA,0,0,1,1,1
-7860941.05803999,-3955792.19837333,1022,2018,1,13120,ÑUÑOA,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131200169,DUBLE ALMEYDA,131200099,CAP FUENTES,0,0,1,0,0,BICICLETA,0,0,0,0,1
-7860923.24692145,-3951790.81195599,1023,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230286,LA CONCEPCION,131230204,FRANCISCO ANTONIO ENCINA,0,0,1,0,0,BICICLETA,0,1,0,0,1
-7860922.46768501,-3956468.54868633,1024,2018,1,13120,ÑUÑOA,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131200687,SUAREZ MUJICA,131200628,REP DE ISRAEL,0,0,1,0,0,BICICLETA,0,1,0,0,1
-7860917.34698844,-3953617.97793702,1025,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230018,ALFEREZ REAL,131230367,MANUEL MONTT,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7860916.45643252,-3952882.70170255,1026,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230183,ELIODORO YANEZ,131230041,ANTONIO VARAS,0,0,2,0,1,BICICLETA,0,2,0,1,3
-7860896.97552163,-3952878.16639901,1027,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230183,ELIODORO YANEZ,131230133,DARIO URZUA,0,0,1,0,0,BICICLETA,0,1,0,0,1
-7860892.74538098,-3951080.05853145,1028,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230420,PEDRO DE VALDIVIA NORTE,131230323,LOS CONQUISTADORES,0,0,0,0,2,BICICLETA,0,0,0,2,2
-7860885.06433612,-3962003.32484713,1029,2018,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131290636,VICUNA MACKENNA,131290086,CAP PRAT,0,1,0,0,0,BICICLETA,1,0,0,0,1
-7860874.82294297,-3963940.65550508,1030,2018,1,13111,LA GRANJA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131110417,MANIO, , ,6367,0,0,0,0,BICICLETA,0,0,0,0,1
-7860870.59280231,-3951993.81615859,1031,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230437,PROVIDENCIA, , ,1740,0,0,0,1,BICICLETA,0,0,0,1,1
-7860851.89112786,-3953924.80149783,1032,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230367,MANUEL MONTT,131230442,PUYEHUE,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7860851.11189142,-3953116.80581317,1033,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230511,VALENZUELA CASTILLO,131230041,ANTONIO VARAS,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7860842.81858935,-3951307.16411551,1034,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131230489,STA MARIA,131230182,ELIECER PARADA,0,0,1,0,0,BICICLETA,0,1,0,0,1
-7860836.64035762,-3951189.42289146,1035,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131230420,PEDRO DE VALDIVIA NORTE,131230327,LOS ESPANOLES,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7860826.39896446,-3956745.02443339,1036,2018,1,13120,ÑUÑOA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131200256,GRECIA,131200628,REP DE ISRAEL,0,0,1,0,0,BICICLETA,0,1,0,0,1
-7860805.24826122,-3946405.29747556,1037,2018,1,13107,HUECHURABA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131070059,DEL PARQUE,131070383,RINCONADA EL SALTO,0,0,1,0,0,BICICLETA,0,1,0,0,1
