X,Y,FID,Año,Claseaccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,COd_Calle_,Calle_Dos,Número,Intersecci,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7870258.37700124,-3935730.46030141,313,2017,1,13107,HUECHURABA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131070123,GRAL SAN MARTIN,0, ,7021,GRAL SAN MARTIN  7021,0,0,2,0,BICICLETA,0,0,1,0,1
-7870164.83518419,-3951068.30863397,314,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131260111,DR JOSE TOBIAS,131260107,DR CARLOS OTTOLENGHI,0,DR CARLOS OTTOLENGHI - DR JOSE TOBIAS,0,0,0,1,BICICLETA,0,0,0,0,1
-7870099.74671976,-3964906.89223393,315,2017,1,13116,LO ESPEJO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131160088,BUENAVENTURA,131160115,CENTRAL,0,BUENAVENTURA - CENTRAL,1,0,0,0,BICICLETA,1,0,0,0,1
-7870009.56196084,-3952749.06589355,316,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131260169,JOAQUIN VALLEDOR,131260174,JOSE JOAQUIN PEREZ,0,JOAQUIN VALLEDOR - JOSE JOAQUIN PEREZ,0,1,0,0,BICICLETA,0,1,0,0,1
-7869983.80212354,-3974674.09223987,317,2017,1,13401,SAN BERNARDO,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,134010110,BAQUEDANO,134010075,ANTONIO VARAS,0,ANTONIO VARAS - BAQUEDANO,1,0,0,0,BICICLETA,1,0,0,0,1
-7869961.51016841,-3955973.69763279,318,2017,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131060254,GRAL AMENGUAL,0, ,55,GRAL AMENGUAL  55,0,0,0,1,BICICLETA,0,0,0,0,1
-7869897.60162487,-3948515.16029331,319,2017,1,13128,RENCA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131280060,APOSTOL SANTIAGO,131280731,SENADOR JAIME GUZMAN,0,APOSTOL SANTIAGO - SENADOR JAIME GUZMAN,0,1,0,0,BICICLETA,0,1,0,0,1
-7869841.63016663,-3971848.51126282,320,2017,1,13105,EL BOSQUE,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131050386,LO BLANCO,0, ,434,LO BLANCO  434,0,0,0,1,BICICLETA,0,0,0,0,1
-7869836.01858464,-3951500.54705931,321,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131260373,STA FE,131260069,CARRASCAL,0,CARRASCAL - STA FE,0,0,0,1,BICICLETA,0,0,0,0,1
-7869817.01741344,-3969477.85110125,322,2017,1,13401,SAN BERNARDO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,134010843,OCHAGAVIA,0, ,9660,OCHAGAVIA  9660,0,0,0,1,BICICLETA,0,0,0,0,1
-7869794.39729095,-3954182.69966147,323,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131010242,GARCIA REYES,131010132,COMPANIA,0,COMPANIA - GARCIA REYES,0,0,0,1,BICICLETA,0,0,0,0,1
-7869754.41823568,-3951865.39244604,324,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260265,NVA EXTREMADURA,131260191,LA PLATA,0,LA PLATA - NVA EXTREMADURA,0,0,0,1,BICICLETA,0,0,0,0,1
-7869730.59446575,-3954521.357941,325,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260267,NVA IMPERIAL,131260100,CRUCHAGA MONTT,0,CRUCHAGA MONTT - NVA IMPERIAL,0,1,0,0,BICICLETA,0,1,0,0,1
-7869719.59064733,-3953244.77142057,326,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260042,BISMARCK,131260241,MARTINEZ DE ROZAS,0,BISMARCK - MARTINEZ DE ROZAS,0,0,0,1,BICICLETA,0,0,0,0,1
-7869717.83177834,-3954409.99950084,327,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131260026,ANDRES DE USTARIZ,0, ,1565,ANDRES DE USTARIZ  1565,0,1,0,0,BICICLETA,0,1,0,0,1
-7869686.42792273,-3953671.259012,328,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260354,SAN PABLO,131260100,CRUCHAGA MONTT,0,CRUCHAGA MONTT - SAN PABLO,0,0,0,1,BICICLETA,0,0,0,0,1
-7869624.92587316,-3956486.57828913,329,2017,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131060011,5 DE ABRIL,131060129,CONCON,0,5 DE ABRIL - CONCON,0,0,0,1,BICICLETA,0,0,0,0,1
-7869616.98007812,-3952052.75054329,330,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131260346,SALVADOR GUTIERREZ,131260153,GRAL BRAYER,0,GRAL BRAYER - SALVADOR GUTIERREZ,0,0,0,1,BICICLETA,0,0,0,0,1
-7869582.44501724,-3962960.97519568,331,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010358,LORETO,131010104,CARD JOSE MARIA CARO,0,CARD JOSE MARIA CARO - LORETO,0,0,0,1,BICICLETA,0,0,0,0,1
-7869542.84318425,-3953434.03125273,332,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260095,CORDOVA Y FIGUEROA,131260119,EDISON,0,CORDOVA Y FIGUEROA - EDISON,0,0,0,1,BICICLETA,0,0,0,0,1
-7869532.15091461,-3956795.44991552,333,2017,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131060283,HNOS EYRAUD,0, ,832,HNOS EYRAUD  832,0,0,0,1,BICICLETA,0,0,0,0,1
-7869508.34976999,-3951590.96198066,334,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131260069,CARRASCAL,131260035,AVIADOR BLERIOT,0,AVIADOR BLERIOT - CARRASCAL,0,0,0,1,BICICLETA,0,0,0,0,1
-7869485.49638638,-3962244.79177181,335,2017,1,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131210323,LO OVALLE,131210097,AZTECA,0,AZTECA - LO OVALLE,0,0,0,1,BICICLETA,0,0,0,0,1
-7869424.17093452,-3953117.03262618,336,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,4,ACERA O BERMA,131260099,CRNEL ROBLES,0, ,1357,CRNEL ROBLES  1357,0,0,0,2,BICICLETA,0,0,0,0,1
-7869414.60132164,-3972056.43257391,337,2017,1,13105,EL BOSQUE,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131050243,GRAN AVDA JOSE MIGUEL CARRERA,131050386,LO BLANCO,0,GRAN AVDA JOSE MIGUEL CARRERA - LO BLANCO,0,0,0,1,BICICLETA,0,0,0,0,1
-7869360.48504021,-3958009.26462426,338,2017,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131060553,PINGUINOS,131060707,STA TERESA,0,PINGUINOS - STA TERESA,0,0,0,1,BICICLETA,0,0,0,0,1
-7869344.11401337,-3951840.8511757,339,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260170,JOAQUIN WALKER MARTINEZ,131260160,HOEVEL,0,HOEVEL - JOAQUIN WALKER MARTINEZ,0,0,0,1,BICICLETA,0,0,0,0,1
-7869291.34814369,-3953209.04251218,340,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260241,MARTINEZ DE ROZAS,131260015,ALCERRECA,0,ALCERRECA - MARTINEZ DE ROZAS,0,0,0,2,BICICLETA,0,0,0,0,2
